frame,team,timestamp,positions
17,0,0.5666666666666667,"[[1063, 282], [923, 292], [936, 389], [566, 373], [1071, 391], [564, 197], [769, 392], [519, 318], [954, 312], [895, 206], [81, 242], [143, 150]]"
17,1,0.5666666666666667,"[[738, 204], [846, 368], [998, 248], [996, 362], [199, 339], [658, 329], [971, 150], [736, 137], [1201, 187], [1038, 393], [827, 52]]"
18,0,0.6,"[[1063, 282], [568, 375], [923, 292], [769, 392], [934, 390], [563, 198], [521, 320], [1069, 393], [952, 313], [895, 206], [81, 242], [143, 150]]"
18,1,0.6,"[[846, 370], [737, 205], [996, 362], [969, 150], [1202, 188], [201, 340], [736, 137], [998, 250], [1039, 394], [661, 330], [827, 52]]"
19,0,0.6333333333333333,"[[569, 377], [922, 292], [768, 394], [1062, 282], [520, 321], [932, 391], [1066, 393], [894, 206], [562, 197], [81, 241], [951, 314], [143, 150], [212, 67]]"
19,1,0.6333333333333333,"[[846, 371], [736, 206], [994, 363], [968, 150], [1200, 188], [734, 137], [202, 341], [997, 251], [1038, 397], [662, 330], [827, 52]]"
20,0,0.6666666666666666,"[[570, 379], [893, 207], [767, 395], [1063, 394], [520, 322], [930, 393], [562, 198], [921, 295], [1062, 282], [81, 241], [715, 297], [143, 150], [210, 67]]"
20,1,0.6666666666666666,"[[845, 371], [735, 206], [203, 344], [993, 365], [996, 251], [733, 138], [1200, 188], [967, 151], [1035, 401], [664, 334], [827, 53]]"
21,0,0.7,"[[570, 379], [893, 207], [767, 395], [1063, 394], [520, 322], [930, 394], [921, 295], [562, 198], [1061, 282], [81, 241], [143, 150], [715, 297], [209, 68]]"
21,1,0.7,"[[845, 371], [735, 206], [996, 251], [203, 344], [993, 365], [733, 138], [1200, 188], [967, 151], [1035, 401], [664, 334], [827, 53]]"
22,0,0.7333333333333333,"[[927, 397], [571, 380], [767, 398], [521, 323], [892, 209], [1060, 398], [562, 198], [1062, 284], [920, 297], [81, 241], [142, 149], [715, 299], [232, 103], [210, 67]]"
22,1,0.7333333333333333,"[[845, 372], [733, 139], [666, 335], [995, 251], [735, 206], [992, 367], [204, 347], [1199, 189], [966, 151], [1033, 404], [826, 53]]"
23,0,0.7666666666666667,"[[924, 399], [1060, 286], [768, 401], [522, 325], [1057, 400], [570, 381], [562, 199], [920, 299], [891, 209], [715, 302], [81, 241], [142, 149], [210, 67], [232, 103]]"
23,1,0.7666666666666667,"[[845, 373], [732, 138], [734, 207], [205, 349], [994, 252], [666, 337], [992, 369], [964, 152], [1198, 189], [1030, 406], [826, 53]]"
24,0,0.8,"[[920, 301], [1060, 287], [769, 403], [561, 199], [921, 402], [571, 381], [1055, 403], [522, 328], [944, 323], [715, 304], [890, 210], [81, 241], [209, 69], [141, 149], [213, 65], [232, 103]]"
24,1,0.8,"[[963, 153], [731, 139], [733, 208], [668, 339], [845, 376], [206, 352], [993, 252], [991, 371], [1197, 190], [1029, 407], [826, 52]]"
25,0,0.8333333333333334,"[[942, 323], [919, 303], [573, 384], [919, 403], [769, 405], [1059, 289], [561, 199], [1054, 405], [522, 331], [715, 306], [890, 211], [207, 70], [81, 241], [140, 149], [199, 63], [233, 103], [213, 66]]"
25,1,0.8333333333333334,"[[730, 139], [962, 153], [670, 341], [733, 209], [990, 372], [206, 353], [1197, 191], [993, 253], [844, 377], [1029, 409], [826, 53]]"
26,0,0.8666666666666667,"[[574, 386], [918, 303], [560, 199], [769, 406], [1058, 290], [917, 405], [942, 324], [523, 333], [1053, 406], [715, 307], [890, 211], [81, 241], [140, 149], [199, 63], [212, 66], [207, 70], [233, 103]]"
26,1,0.8666666666666667,"[[730, 140], [732, 210], [960, 154], [989, 373], [671, 342], [844, 379], [1195, 191], [207, 354], [992, 254], [1028, 411], [826, 53]]"
27,0,0.9,"[[574, 386], [918, 304], [560, 199], [769, 406], [917, 405], [1058, 290], [942, 324], [1053, 406], [523, 333], [715, 307], [890, 211], [81, 241], [140, 149], [199, 63], [212, 66], [207, 70], [233, 103]]"
27,1,0.9,"[[730, 140], [732, 210], [960, 154], [989, 373], [671, 342], [844, 379], [207, 354], [1195, 191], [992, 254], [1028, 411], [826, 53]]"
28,0,0.9333333333333333,"[[918, 304], [769, 408], [560, 199], [913, 405], [1058, 290], [575, 388], [523, 334], [1052, 407], [942, 325], [715, 308], [889, 211], [140, 149], [81, 241], [212, 65], [233, 103]]"
28,1,0.9333333333333333,"[[673, 345], [731, 211], [729, 140], [208, 356], [989, 374], [1194, 192], [842, 382], [991, 256], [1028, 415], [959, 154], [826, 53]]"
29,0,0.9666666666666667,"[[911, 408], [769, 410], [916, 304], [559, 199], [576, 390], [1058, 291], [940, 326], [714, 309], [523, 335], [887, 212], [1049, 412], [81, 241], [140, 148], [233, 103], [212, 65]]"
29,1,0.9666666666666667,"[[210, 360], [841, 383], [990, 258], [730, 213], [957, 154], [1193, 194], [989, 377], [677, 348], [729, 142], [1033, 418], [1029, 418], [826, 53], [1038, 416]]"
30,0,1.0,"[[577, 392], [909, 411], [916, 305], [768, 412], [558, 199], [1057, 291], [714, 309], [940, 327], [887, 212], [1047, 415], [524, 336], [81, 241], [233, 103], [140, 148]]"
30,1,1.0,"[[727, 142], [989, 258], [957, 155], [840, 384], [211, 362], [989, 379], [1192, 194], [675, 348], [1028, 420], [730, 213], [826, 53]]"
31,0,1.0333333333333334,"[[915, 308], [769, 414], [907, 414], [578, 393], [938, 331], [558, 199], [1056, 291], [713, 312], [886, 212], [524, 336], [81, 241], [233, 103], [140, 148]]"
31,1,1.0333333333333334,"[[988, 259], [726, 142], [955, 155], [840, 385], [1192, 195], [988, 380], [213, 365], [677, 350], [1027, 422], [1043, 418], [728, 214], [825, 54], [1032, 421]]"
32,0,1.0666666666666667,"[[914, 310], [904, 416], [579, 394], [770, 415], [557, 199], [1055, 293], [886, 213], [937, 333], [713, 315], [524, 340], [232, 103], [81, 241], [140, 149]]"
32,1,1.0666666666666667,"[[987, 259], [726, 142], [954, 156], [215, 367], [1191, 195], [987, 383], [839, 385], [680, 351], [728, 213], [1030, 423], [1041, 419], [825, 54], [1036, 421]]"
33,0,1.1,"[[914, 310], [904, 416], [579, 394], [770, 415], [557, 199], [1055, 293], [886, 213], [937, 333], [713, 315], [524, 340], [232, 103], [81, 241], [140, 149]]"
33,1,1.1,"[[987, 259], [726, 142], [954, 156], [215, 367], [1191, 195], [987, 383], [839, 385], [680, 351], [728, 213], [1030, 423], [1041, 419], [825, 54], [1037, 421]]"
34,0,1.1333333333333333,"[[913, 312], [580, 395], [1055, 294], [557, 200], [713, 317], [901, 418], [885, 214], [770, 415], [935, 334], [524, 344], [232, 103], [81, 241], [140, 148], [199, 72]]"
34,1,1.1333333333333333,"[[986, 259], [725, 143], [987, 384], [953, 157], [727, 213], [682, 353], [216, 368], [839, 387], [1190, 195], [1037, 422], [1032, 425], [825, 54]]"
35,0,1.1666666666666667,"[[580, 399], [557, 200], [913, 314], [1054, 295], [713, 319], [900, 419], [885, 214], [771, 415], [933, 335], [524, 345], [81, 241], [233, 103], [140, 148], [197, 73]]"
35,1,1.1666666666666667,"[[726, 215], [985, 259], [725, 143], [683, 354], [217, 369], [839, 389], [1031, 427], [952, 159], [985, 384], [1189, 196], [825, 54]]"
36,0,1.2,"[[902, 423], [581, 402], [525, 349], [556, 200], [912, 316], [1053, 297], [884, 215], [713, 320], [932, 336], [773, 416], [195, 75], [82, 241], [140, 148], [233, 103]]"
36,1,1.2,"[[1030, 431], [219, 372], [725, 215], [724, 144], [838, 391], [984, 261], [683, 355], [1188, 197], [951, 159], [985, 385], [825, 54]]"
37,0,1.2333333333333334,"[[900, 427], [581, 404], [525, 350], [912, 317], [884, 215], [556, 200], [1053, 299], [713, 321], [931, 337], [773, 417], [140, 148], [232, 103], [81, 241]]"
37,1,1.2333333333333334,"[[1029, 433], [983, 262], [949, 159], [221, 375], [725, 216], [684, 357], [838, 393], [1187, 197], [723, 145], [984, 385], [825, 55]]"
38,0,1.2666666666666666,"[[582, 407], [525, 351], [777, 418], [897, 430], [912, 318], [555, 201], [713, 322], [1052, 299], [883, 215], [140, 148], [81, 241], [232, 103]]"
38,1,1.2666666666666666,"[[1028, 434], [948, 159], [683, 358], [838, 395], [982, 264], [724, 218], [223, 378], [984, 387], [1186, 199], [723, 146], [825, 55]]"
39,0,1.3,"[[582, 407], [525, 351], [777, 418], [897, 430], [912, 318], [555, 201], [713, 322], [1052, 299], [883, 215], [82, 240], [140, 149], [232, 103]]"
39,1,1.3,"[[1028, 434], [948, 159], [838, 395], [223, 377], [683, 358], [982, 264], [724, 218], [984, 387], [1186, 198], [723, 146], [825, 55]]"
40,0,1.3333333333333333,"[[778, 420], [526, 351], [911, 318], [583, 409], [554, 201], [1052, 299], [893, 433], [714, 323], [930, 340], [883, 215], [82, 240], [140, 148], [232, 103]]"
40,1,1.3333333333333333,"[[684, 358], [983, 389], [836, 396], [1027, 435], [723, 219], [981, 266], [225, 382], [1185, 200], [722, 146], [947, 159], [824, 55]]"
41,0,1.3666666666666667,"[[911, 318], [553, 201], [585, 409], [928, 341], [891, 434], [780, 423], [527, 352], [714, 326], [1051, 300], [882, 216], [82, 240], [140, 149], [232, 103]]"
41,1,1.3666666666666667,"[[684, 359], [1027, 439], [982, 391], [835, 396], [981, 266], [722, 220], [227, 383], [945, 160], [1184, 200], [722, 147], [824, 55]]"
42,0,1.4,"[[585, 409], [910, 319], [552, 201], [527, 355], [1051, 301], [889, 434], [780, 423], [714, 328], [927, 345], [882, 217], [82, 240], [140, 149], [232, 102], [188, 76]]"
42,1,1.4,"[[980, 393], [685, 360], [944, 160], [1025, 443], [834, 396], [721, 220], [228, 385], [981, 267], [721, 147], [1184, 201], [824, 55]]"
