frame,team,largura,profundidade,pressao,largura_linha_1,largura_linha_2,largura_linha_3,profundidade_1_2,profundidade_2_3
0,0,1026,371,0.0,12.5,77.1875,45.15625,212.78571428571428,113.46428571428572
0,1,1027,314,0.0,36.5625,64.140625,15.78125,146.73333333333332,65.66666666666669
1,0,1088,372,0.42370521275688433,6.953125,77.34375,85.0,202.25,104.75
1,1,1025,314,0.6283306033818875,18.828125,36.09375,67.65625,94.33333333333334,132.8
2,0,1087,373,0.0,7.109375,77.265625,84.921875,225.27777777777777,106.42222222222222
2,1,1024,314,0.0,18.828125,36.09375,67.578125,94.00000000000001,133.46666666666667
3,0,1087,372,0.0,7.187499999999999,77.34375,84.921875,226.5,104.89999999999998
3,1,1024,314,0.0,18.828125,36.09375,67.578125,94.33333333333334,133.46666666666667
4,0,1086,374,0.0,7.34375,43.90625,84.84375,238.66666666666669,93.63333333333333
4,1,1021,317,0.0,36.484375,63.828125,15.546874999999998,148.4666666666667,65.66666666666663
5,0,1083,375,0.0,8.828125,38.359375,84.609375,161.5,131.2
5,1,1019,363,0.0,23.28125,36.09375,67.265625,121.66666666666666,135.13333333333335
6,0,1082,312,0.0,0.0,64.140625,84.53125,130.5,131.89999999999998
6,1,1017,324,0.0,18.671875,36.09375,66.953125,97.66666666666667,135.86666666666665
7,0,1079,183,0.5155259877078238,25.859375,43.359375,84.296875,90.60000000000002,80.79999999999995
7,1,1016,326,0.6430138824273994,36.640625,63.35937499999999,15.156249999999998,151.0,68.33333333333331
8,0,1080,184,0.4097553785548231,25.937500000000004,76.953125,84.375,76.5,96.89999999999998
8,1,1015,329,0.6392417062370536,18.59375,36.328125,66.40625,99.00000000000001,137.46666666666667
9,0,1080,184,0.4097590382315181,25.937500000000004,76.953125,84.375,76.66666666666669,96.73333333333329
9,1,1015,329,0.6392417062370536,18.59375,36.328125,66.40625,99.00000000000001,137.46666666666667
10,0,1005,186,0.45849049536279585,63.828125,43.046875,41.484375,78.75,82.5
10,1,1015,371,0.605073234618498,18.671875,16.015625,66.328125,128.25,133.89999999999998
11,0,1004,319,0.0,59.06249999999999,76.953125,41.328125,130.0,93.5
11,1,1013,330,0.0,36.5625,0.0,66.09375,113.5,106.19999999999999
12,0,1003,322,0.2636647671124114,58.90625000000001,76.953125,41.015625,141.0,93.94999999999999
12,1,1012,331,0.2644665047580408,36.5625,0.0,66.015625,113.25,107.19999999999999
13,0,1000,322,0.26540514748549654,58.90625000000001,76.953125,40.625,142.40000000000003,94.14999999999998
13,1,1010,335,0.26608808105674187,36.484375,62.890625,14.765624999999998,155.26666666666668,69.66666666666663
14,0,1071,286,0.25682462467532086,58.75,76.71875,83.671875,123.64999999999998,89.10000000000002
14,1,1008,338,0.26745638539959016,18.4375,36.171875,65.703125,99.00000000000001,143.06666666666663
15,0,1070,286,0.2661756038976319,58.75,76.796875,83.59375,123.64999999999998,91.40000000000003
15,1,1008,338,0.26745638539959016,18.4375,36.171875,65.703125,99.00000000000001,143.06666666666663
16,0,992,288,0.0,58.75,76.71875,39.765625,124.44999999999999,96.05000000000001
16,1,1006,341,0.0,18.359375,36.25,65.625,99.99999999999999,144.33333333333334
17,0,990,242,0.0,63.59375000000001,42.5,39.453125,102.25,85.25
17,1,1002,341,0.0,18.359375,36.171875,65.546875,100.0,145.2
18,0,988,243,0.2929721340640206,63.59375000000001,42.34375,39.140625,102.75,85.75
18,1,1001,342,0.27022828952041283,18.203125,36.328125,65.46875,101.33333333333334,144.86666666666665
19,0,985,327,0.42841897081952957,5.390625,76.640625,42.65625,135.1,121.4
19,1,998,345,0.7022778136006582,18.28125,36.25,65.3125,102.0,145.39999999999998
20,0,982,328,0.0,0.0,63.4375,42.421875,132.0,145.625
20,1,997,348,0.0,18.28125,36.328125,65.0,101.0,148.0
21,0,982,327,0.0,0.0,63.4375,42.421875,131.0,145.75
21,1,997,348,0.0,18.28125,36.328125,65.0,101.0,148.0
22,0,981,331,0.0,7.03125,76.640625,42.109375,148.33333333333331,124.53333333333333
22,1,995,351,0.0,18.203125,36.25,64.765625,101.00000000000001,149.66666666666666
23,0,979,334,0.0,7.03125,76.484375,38.046875,159.52380952380952,129.39285714285717
23,1,993,353,0.0,18.125,36.25,64.453125,101.66666666666667,150.8
24,0,979,338,0.0,7.109375,76.484375,37.8125,177.625,123.125
24,1,991,355,0.0,18.125,36.25,64.296875,101.99999999999999,152.33333333333334
25,0,978,342,0.0,7.265625000000001,76.40625,37.578125,185.175,123.875
25,1,991,356,0.0,18.125,36.25,64.296875,102.66666666666666,152.73333333333332
26,0,977,343,0.0,7.265625000000001,63.20312500000001,41.796875,126.8,134.1111111111111
26,1,988,358,0.0,0.0,36.328125,64.140625,136.8,182.0
27,0,977,343,0.0,7.265625000000001,63.20312500000001,41.796875,126.8,134.22222222222223
27,1,988,358,0.0,0.0,36.328125,64.140625,136.8,182.0
28,0,977,343,0.0,32.8125,76.328125,37.265625,158.57142857142856,114.42857142857144
28,1,986,362,0.0,17.96875,36.171875,64.0625,103.99999999999999,154.73333333333332
29,0,977,347,0.0,7.265625000000001,76.328125,36.953125,171.79166666666669,127.875
29,1,983,365,0.0,17.8125,36.171875,64.6875,105.33333333333333,166.9047619047619
30,0,976,312,0.5263126352234535,58.359375,76.25,36.71875,136.0,106.0
30,1,981,367,0.6248721578655103,17.96875,36.09375,63.828125,104.99999999999999,156.93333333333337
31,0,975,311,0.5538438418853445,58.28124999999999,76.171875,25.703125,137.66666666666669,103.83333333333331
31,1,979,368,0.5187429964336256,17.890625,36.25,64.84375,105.66666666666666,168.9047619047619
32,0,974,313,0.0,62.890625,41.484375,25.390625,137.2,90.13333333333333
32,1,976,369,0.0,17.8125,36.171875,64.53125,105.00000000000001,170.38095238095238
33,0,974,313,0.0,62.890625,41.484375,25.390625,137.2,90.13333333333333
33,1,976,369,0.0,17.8125,36.171875,64.53125,105.00000000000001,170.38095238095238
34,0,974,346,0.0,58.203125,76.09375,25.078125,159.6,102.33333333333331
34,1,974,371,0.0,17.8125,36.171875,64.140625,104.33333333333334,167.49999999999997
35,0,973,346,0.5828163641342076,58.203125,76.015625,25.0,160.5666666666667,102.83333333333331
35,1,972,373,0.498658337345537,17.734375,36.171875,63.59375000000001,104.66666666666667,161.26666666666668
36,0,971,348,0.6310266760821253,58.12500000000001,75.859375,25.078125,161.63333333333333,103.83333333333337
36,1,969,377,0.48999757192866655,17.734375,36.171875,63.35937499999999,105.33333333333334,162.46666666666667
37,0,972,324,0.0,62.734375,41.25,24.921875,143.4,91.19999999999999
37,1,966,378,0.0,17.65625,36.09375,63.125,105.33333333333333,163.60000000000002
38,0,971,327,0.0,58.046875,75.859375,24.609375,139.45,112.13333333333333
38,1,963,379,0.0,17.578125,36.09375,62.890625,107.0,163.39999999999998
39,0,970,327,0.0,58.046875,75.78125,24.609375,139.0,112.33333333333331
39,1,963,379,0.0,36.171875,59.45312499999999,0.0,201.0,77.80000000000001
40,0,970,330,0.0,62.57812499999999,41.09375,24.21875,144.79999999999998,94.4666666666667
40,1,960,380,0.0,17.578125,36.09375,62.65625,108.33333333333334,163.66666666666666
41,0,969,331,0.0,62.5,40.9375,23.90625,145.59999999999997,94.60000000000002
41,1,957,384,0.0,17.421875,36.09375,62.5,107.99999999999999,164.93333333333337
42,0,969,358,0.0,32.1875,75.703125,23.75,168.71428571428572,121.28571428571428
42,1,956,388,0.0,17.421875,36.171875,62.265625,108.66666666666667,166.06666666666663
43,0,968,333,0.0,62.42187500000001,40.859375,23.59375,150.2,91.0
43,1,954,390,0.0,36.171875,58.67187499999999,0.0,209.83333333333334,60.0
44,0,970,359,0.0,32.03125,75.78125,23.203125,171.46428571428572,120.95238095238096
44,1,952,396,0.0,36.09375,58.51562500000001,0.0,210.66666666666666,65.0
45,0,970,359,0.0,57.89062499999999,75.78125,23.203125,168.6,106.66666666666669
45,1,953,395,0.0,36.171875,58.51562500000001,0.0,210.41666666666666,64.25
46,0,968,361,0.0,62.5,40.78125,22.890625,170.0,92.66666666666669
46,1,949,399,0.0,17.34375,36.09375,61.71875,108.33333333333334,178.16666666666666
47,0,968,362,0.0,57.89062499999999,75.625,22.65625,152.05,115.19999999999999
47,1,946,396,0.0,36.171875,58.28124999999999,0.0,211.75,63.25
48,0,968,364,0.0,62.34375,40.703125,22.34375,151.35000000000002,95.73333333333329
48,1,943,402,0.0,17.1875,36.015625,61.5625,109.66666666666667,179.83333333333331
49,0,966,366,0.0,62.109375,40.703125,22.109375,152.14999999999998,97.60000000000002
49,1,940,405,0.0,17.1875,36.09375,61.25000000000001,110.0,187.0
50,0,965,367,0.0,62.109375,40.546875,21.640625,154.14999999999998,97.10000000000002
50,1,937,316,0.0,36.09375,57.65625,1.015625,190.8,63.0
51,0,965,367,0.0,62.109375,40.546875,21.5625,153.95,97.30000000000001
51,1,937,316,0.0,36.09375,0.0,61.01562499999999,162.8,59.80000000000001
52,0,967,370,0.0,0.0,62.265625,40.546875,139.33333333333334,148.0952380952381
52,1,934,412,0.0,0.0,36.171875,60.78125,147.8,219.05714285714282
53,0,968,378,0.0,62.265625,40.546875,31.874999999999996,156.45,102.80000000000001
53,1,930,416,0.0,0.0,36.09375,60.62499999999999,147.2,206.8
54,0,872,381,0.0,54.921875,40.46875,31.71875,177.26666666666668,101.64999999999998
54,1,927,420,0.0,17.03125,35.9375,60.46875000000001,112.33333333333333,177.2
55,0,967,260,0.39390773292379555,62.265625,40.390625,31.71875,124.19999999999999,102.30000000000001
